caseNo,stationA,stationB,rank1,rank2,rank3,rank4,rank5
1,東京,六本木,霞ヶ関,四ツ谷,本郷三丁目,中野,御茶ノ水
2,大手町,六本木,霞ヶ関,茅場町,本郷三丁目,門前仲町,四ツ谷
3,東京,渋谷,目黒,四ツ谷,中野,御茶ノ水,新宿三丁目
4,大手町,渋谷,表参道,九段下,永田町,半蔵門,神保町
5,東京,新宿,中野,御茶ノ水,四ツ谷,阿佐ヶ谷,荻窪
6,大手町,新宿,中野,四ツ谷,九段下,神保町,御茶ノ水
7,東京,虎ノ門ヒルズ,新橋,四ツ谷,御茶ノ水,神田,赤坂見附
8,大手町,虎ノ門ヒルズ,溜池山王,新橋,表参道,外苑前,本郷三丁目
9,東京,品川,目黒,新橋,田町,大崎,御茶ノ水
10,大手町,品川,目黒,新橋,本郷三丁目,飯田橋,三田
11,東京,日本橋,中野,本郷三丁目,飯田橋,四ツ谷,大手町
12,大手町,日本橋,飯田橋,茅場町,竹橋,中野,九段下
13,東京,表参道,四ツ谷,赤坂見附,霞ヶ関,本郷三丁目,新橋
14,大手町,表参道,九段下,永田町,半蔵門,神保町,乃木坂
15,六本木,渋谷,代々木,東中野,目黒,新宿,永田町
16,六本木,虎ノ門ヒルズ,築地,銀座,神谷町,大門,東銀座
17,渋谷,新宿,代々木,明大前,目白,新宿三丁目,目黒
18,新橋,汐留,大門,竹芝,日の出,芝浦ふ頭,馬込
19,麻布十番,大手町,四ツ谷,飯田橋,永田町,白金高輪,後楽園
20,麻布十番,東京,四ツ谷,目黒,御茶ノ水,後楽園,中野
21,麻布十番,六本木ヒルズ,赤羽橋,青山一丁目,代々木,東中野,大門
22,六本木,西新宿,中野坂上,中野,東中野,四ツ谷,代々木
23,大手町,新宿三丁目,四ツ谷,中野,本郷三丁目,九段下,神保町
24,東京,赤坂,霞ヶ関,四ツ谷,本郷三丁目,国会議事堂前,茗荷谷
25,神谷町,大手町,霞ヶ関,茅場町,本郷三丁目,四ツ谷,築地
26,神谷町,東京,霞ヶ関,四ツ谷,本郷三丁目,築地,銀座
27,虎ノ門,丸の内,新橋,四ツ谷,御茶ノ水,神田,赤坂見附
28,恵比寿,大手町,目黒,巣鴨,三田,新橋,中野
29,恵比寿,六本木,代々木,目黒,東中野,麻布十番,大門
30,目黒,東京,四ツ谷,不動前,武蔵小山,御茶ノ水,新橋